# RTTI index for eldenring.exe (imagebase 0x140000000)
# vtable_rva	td_rva	ctor_rvas	mangled_name   (RVAs are er_base-relative)
0x326b698	0x3d580b0	0x25aab50	.?AU?$MemberSlot@VhclBonePlaneViewer@@P81@EAAXPEAVhclWorld@@PEAVhclClothInstance@@@Z@?$hkSignal2@PEAVhclWorld@@PEAVhclClothInstance@@@@
0x3269d40	0x3d55d90	0x257c410	.?AU?$MemberSlot@VhclClothAabbViewer@@P81@EAAXPEAVhclWorld@@M@Z@?$hkSignal2@PEAVhclWorld@@M@@
0x3269b70	0x3d55ba0	0x25790f0	.?AU?$MemberSlot@VhclClothInspectorViewerEx@@P81@EAAXPEAVhclClothInstance@@AEBUStateChangedInfo@hclClothInstanceSignals@@@Z@?$hkSignal2@PEAVhclClothInstance@@AEBUStateChangedInfo@hclClothInstanceSignals@@@@
0x3269b40	0x3d55a50	0x2579190	.?AU?$MemberSlot@VhclClothInspectorViewerEx@@P81@EAAXPEAVhclClothInstance@@PEBVhclSimulateOperatorInstanceData@@AEBUSimulateOpInstanceDataChangedInfo@hclClothInstanceSignals@@@Z@?$hkSignal3@PEAVhclClothInstance@@PEBVhclSimulateOperatorInsta
0x3269a80	0x3d556b0	0x2579230	.?AU?$MemberSlot@VhclClothInspectorViewerEx@@P81@EAAXPEAVhclClothInstance@@_N@Z@?$hkSignal2@PEAVhclClothInstance@@_N@@
0x3269b10	0x3d55940	0x25792d0	.?AU?$MemberSlot@VhclClothInspectorViewerEx@@P81@EAAXPEAVhclSimClothInstance@@AEBULandscapeCollisionDataChangedInfo@hclClothInstanceSignals@@@Z@?$hkSignal2@PEAVhclSimClothInstance@@AEBULandscapeCollisionDataChangedInfo@hclClothInstanceSigna
0x3269ab0	0x3d55740	0x2579370	.?AU?$MemberSlot@VhclClothInspectorViewerEx@@P81@EAAXPEAVhclSimClothInstance@@AEBUSimulationInfoChangedInfo@hclClothInstanceSignals@@@Z@?$hkSignal2@PEAVhclSimClothInstance@@AEBUSimulationInfoChangedInfo@hclClothInstanceSignals@@@@
0x3269ae0	0x3d55840	0x2579410	.?AU?$MemberSlot@VhclClothInspectorViewerEx@@P81@EAAXPEAVhclSimClothInstance@@AEBUTransferMotionDataChangedInfo@hclClothInstanceSignals@@@Z@?$hkSignal2@PEAVhclSimClothInstance@@AEBUTransferMotionDataChangedInfo@hclClothInstanceSignals@@@@
0x3269ba0	0x3d55c80	0x25794b0	.?AU?$MemberSlot@VhclClothInspectorViewerEx@@P81@EAAXPEAVhclWorld@@PEAVhclClothInstance@@@Z@?$hkSignal2@PEAVhclWorld@@PEAVhclClothInstance@@@@
0x326fb08	0x3d59550	0x261b970	.?AU?$MemberSlot@VhclClothLeafShapeSensor@@P81@EAAXPEAVhknpWorld@@PEBUhknpBodyId@@H@Z@?$hkSignal3@PEAVhknpWorld@@PEBUhknpBodyId@@H@@
